,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Makokou,0.5738,12.8642,295.07,93,26,0.65,GA,2021-03-28 19:31:26
1,Boda,4.3189,17.4695,300.56,50,52,1.67,CF,2021-03-28 19:31:26
2,Foumban,5.7291,10.9001,297.62,39,92,0.83,CM,2021-03-28 19:31:27
3,Nola,40.922,14.5329,285.93,77,0,0.67,IT,2021-03-28 19:31:27
4,Oron,4.8256,8.2343,300.55,80,35,2.43,NG,2021-03-28 19:31:27
5,Idah,7.1065,6.7342,304.84,18,0,0.51,NG,2021-03-28 19:31:27
6,Paoua,7.2427,16.4406,299.27,53,63,2.24,CF,2021-03-28 19:31:28
7,Beinamar,8.6698,15.3813,302.61,36,52,1.15,TD,2021-03-28 19:31:28
8,Wukari,7.85,9.7833,304.3,18,63,1.99,NG,2021-03-28 19:31:28
9,Bongor,10.2806,15.3722,304.82,25,69,1.79,TD,2021-03-28 19:31:28
10,Goundi,9.3627,17.366,303.39,24,74,2.04,TD,2021-03-28 19:31:29
11,Ngama,11.7833,17.1667,302.97,14,10,7.05,TD,2021-03-28 19:31:29
12,Bama,11.5221,13.6856,300.67,19,0,5.49,NG,2021-03-28 19:31:29
13,Guider,9.9342,13.9486,304.03,17,9,3.8,CM,2021-03-28 19:31:30
14,Mao,39.8885,4.2658,285.15,87,0,3.09,ES,2021-03-28 19:31:30
15,Lai,9.3952,16.2989,303.49,26,98,2.06,TD,2021-03-28 19:31:30
16,Faya,18.3851,42.4509,291.15,72,0,0.65,SA,2021-03-28 19:31:30
17,Ati,13.2154,18.3353,301.0,14,45,5.51,TD,2021-03-28 19:26:54
18,Kyabe,9.4515,18.9449,304.19,14,14,2.39,TD,2021-03-28 19:31:31
19,Raga,8.4596,25.678,298.86,18,5,1.84,SS,2021-03-28 19:31:31
20,Bitkine,11.9801,18.2138,302.6,14,7,4.63,TD,2021-03-28 19:31:31
21,Jalu,29.0331,21.5482,289.84,31,60,2.83,LY,2021-03-28 19:31:31
22,Matay,28.419,30.7792,289.2,41,0,9.45,EG,2021-03-28 19:31:32
23,Mongo,12.1844,18.693,302.96,14,6,5.17,TD,2021-03-28 19:31:32
24,Beba,22.4437,-79.7253,304.15,51,40,5.66,CU,2021-03-28 19:31:32
25,Abnub,27.2696,31.1511,289.15,55,0,6.69,EG,2021-03-28 19:31:32
26,Marawi,7.9986,124.2928,298.15,90,93,1.79,PH,2021-03-28 19:31:33
27,Ajdabiya,30.7554,20.2263,289.3,47,84,5.69,LY,2021-03-28 19:31:33
28,Kutum,14.2,24.6667,292.66,12,5,7.19,SD,2021-03-28 19:31:33
29,Ofaqim,31.3141,34.6203,282.59,2,0,3.1,IL,2021-03-28 19:31:33
30,Rosetta,31.4044,30.4164,288.15,55,40,5.14,EG,2021-03-28 19:31:34
31,Kumluca,36.3703,30.2869,286.13,59,54,2.59,TR,2021-03-28 19:31:34
32,Bafra,41.5678,35.9069,282.04,75,0,1.54,TR,2021-03-28 19:31:34
33,Tall Kayf,37.0833,41.0667,280.71,45,0,2.99,TR,2021-03-28 19:31:34
34,Birao,10.2849,22.7882,301.64,12,2,4.34,CF,2021-03-28 19:31:35
35,Hurghada,27.2574,33.8129,292.15,32,0,6.69,EG,2021-03-28 19:31:35
36,Najran,17.4924,44.1277,298.15,23,0,5.14,SA,2021-03-28 19:31:35
37,Marsa Matruh,31.3525,27.2453,288.15,58,20,4.12,EG,2021-03-28 19:31:35
38,Divnoye,45.9089,43.3547,276.56,86,50,2.93,RU,2021-03-28 19:31:36
39,Yokadouma,3.5167,15.05,297.91,66,100,0.77,CM,2021-03-28 19:31:36
40,Shagamu,6.8432,3.6478,304.15,62,20,2.57,NG,2021-03-28 19:31:36
41,Mbengwi,6.0167,10.0,296.41,53,100,0.37,CM,2021-03-28 19:31:36
42,Ode,7.7899,5.7117,301.99,22,43,0.36,NG,2021-03-28 19:31:37
43,Nanga Eboko,4.6833,12.3667,296.29,68,59,1.01,CM,2021-03-28 19:31:37
44,Meiganga,6.5167,14.3,296.72,36,79,2.7,CM,2021-03-28 19:31:37
45,Biu,10.6129,12.1946,299.03,18,0,5.29,NG,2021-03-28 19:31:37
46,Kelo,9.3086,15.8066,304.9,26,100,2.27,TD,2021-03-28 19:31:38
47,Bogo,11.0517,124.0055,299.17,83,97,4.23,PH,2021-03-28 19:31:38
48,Moussoro,13.6408,16.4901,299.99,13,0,8.49,TD,2021-03-28 19:31:38
49,Melfi,40.9965,15.6514,282.04,75,1,1.38,IT,2021-03-28 19:31:38
50,Awjilah,29.1081,21.2869,289.73,32,75,3.25,LY,2021-03-28 19:31:39
51,Abu Zabad,12.35,29.25,296.04,13,0,5.92,SD,2021-03-28 19:31:39
52,Pafos,34.7667,32.4167,285.15,54,40,1.54,CY,2021-03-28 19:31:39
53,Teseney,15.11,36.6575,300.37,46,31,5.24,ER,2021-03-28 19:31:39
54,Wad Madani,14.4012,33.5199,301.74,16,1,6.3,SD,2021-03-28 19:31:40
55,Turayf,31.6725,38.6637,287.15,33,0,2.06,SA,2021-03-28 19:31:40
56,Koutsouras,35.0339,25.9469,284.82,68,0,2.85,GR,2021-03-28 19:31:40
57,Umm Kaddadah,13.6017,26.6876,294.06,11,0,6.38,SD,2021-03-28 19:31:40
58,Umm Lajj,25.0213,37.2685,295.73,55,12,8.64,SA,2021-03-28 19:31:41
59,Zabid,14.1951,43.3152,301.5,49,34,2.16,YE,2021-03-28 19:31:41
60,Zonguldak,41.25,31.8333,275.93,84,18,2.25,TR,2021-03-28 19:31:41
61,Aswan,24.0934,32.907,293.24,18,0,7.54,EG,2021-03-28 19:31:41
62,Nigde,37.8333,34.75,272.39,74,3,0.54,TR,2021-03-28 19:31:42
63,Ierapetra,35.01,25.7353,284.82,68,0,2.45,GR,2021-03-28 19:31:42
64,Jadu,31.953,12.0261,289.1,19,3,2.4,LY,2021-03-28 19:31:42
65,Yarada,17.65,83.2667,300.15,81,3,3.19,IN,2021-03-28 19:31:43
66,Jiwani,25.05,61.7417,299.61,72,50,5.31,PK,2021-03-28 19:31:43
67,Abu Samrah,35.3029,37.1841,282.2,63,3,2.46,SY,2021-03-28 19:31:43
68,Pauri,30.15,78.7833,287.75,34,1,2.32,IN,2021-03-28 19:31:43
69,Manzil Bu Zalafah,36.6831,10.5843,287.15,88,75,3.6,TN,2021-03-28 19:31:44
70,Singarayakonda,15.25,80.0333,298.57,84,26,5.27,IN,2021-03-28 19:31:44
71,Narasannapeta,18.4167,84.05,298.2,90,1,2.2,IN,2021-03-28 19:31:44
72,Sakakah,29.9697,40.2064,288.15,17,0,2.06,SA,2021-03-28 19:31:44
73,Cetateni,45.2,25.1833,277.59,70,100,2.24,RO,2021-03-28 19:31:45
74,Serik,36.9169,31.0989,287.04,71,0,3.09,TR,2021-03-28 19:31:45
75,Aktau,43.65,51.2,279.15,93,40,5.0,KZ,2021-03-28 19:31:45
76,Sawakin,19.1059,37.3321,296.65,69,19,5.51,SD,2021-03-28 19:31:45
77,Mecca,21.4267,39.8261,296.66,59,0,3.27,SA,2021-03-28 19:31:46
78,Kargil,34.5667,76.1,274.19,90,95,3.32,IN,2021-03-28 19:31:46
79,Keti Bandar,24.1447,67.4497,298.98,77,6,6.12,PK,2021-03-28 19:31:46
80,Bardiyah,31.7561,25.0865,287.12,60,81,4.05,LY,2021-03-28 19:31:46
81,Naousa,40.6329,22.0534,285.37,46,13,2.06,GR,2021-03-28 19:31:47
82,Pasni,25.2631,63.471,298.87,77,99,3.26,PK,2021-03-28 19:31:47
83,Lasa,46.6166,10.7002,288.15,56,0,1.54,IT,2021-03-28 19:31:47
84,Taloqan,36.7361,69.5345,279.95,92,100,0.59,AF,2021-03-28 19:31:47
85,Kogon,39.7228,64.5517,280.15,87,75,4.12,UZ,2021-03-28 19:31:48
86,Shihezi,44.3,86.0333,282.19,73,100,3.56,CN,2021-03-28 19:31:48
87,Iskilip,40.7353,34.4739,279.26,63,10,1.09,TR,2021-03-28 19:31:48
88,Urumqi,43.801,87.6005,283.15,81,90,2.0,CN,2021-03-28 19:31:48
89,Derbent,42.0678,48.2899,281.55,68,100,2.19,RU,2021-03-28 19:31:49
90,Yining,29.0361,114.5636,289.83,89,17,0.8,CN,2021-03-28 19:31:49
91,Korla,41.7597,86.1469,287.3,40,99,3.39,CN,2021-03-28 19:31:49
92,Kashi,39.4547,75.9797,285.15,47,100,4.0,CN,2021-03-28 19:31:49
93,Panjakent,39.4952,67.6093,280.15,93,90,6.17,TJ,2021-03-28 19:31:50
94,Kyzyl-Suu,42.3414,78.0056,276.68,80,100,2.15,KG,2021-03-28 19:31:10
95,Kuryk,43.2,51.65,279.69,82,49,5.39,KZ,2021-03-28 19:31:50
96,Arzgir,45.3728,44.2206,277.64,83,67,3.05,RU,2021-03-28 19:31:50
97,Akdepe,42.0551,59.3788,280.15,65,0,5.14,TM,2021-03-28 19:31:51
98,Kuytun,54.3419,101.5036,263.8,97,100,1.04,RU,2021-03-28 19:31:51
99,Ushtobe,45.2514,77.9838,281.21,68,100,1.82,KZ,2021-03-28 19:31:51
100,Zhezkazgan,47.8043,67.7144,271.66,87,100,5.32,KZ,2021-03-28 19:31:51
101,Altay,47.8667,88.1167,276.32,96,100,0.18,CN,2021-03-28 19:31:52
102,Balkhash,46.844,74.9804,273.76,77,13,2.54,KZ,2021-03-28 19:31:52
103,Onguday,50.75,86.15,273.31,95,100,1.62,RU,2021-03-28 19:31:52
104,Tabuny,52.7773,78.7896,272.88,98,100,5.41,RU,2021-03-28 19:31:53
105,Yermolayevo,52.7167,55.8,268.81,97,100,0.69,RU,2021-03-28 19:31:53
106,Derzhavinsk,51.1,66.3167,262.11,95,20,3.83,KZ,2021-03-28 19:31:53
107,Qostanay,53.1667,63.5833,265.15,86,0,9.0,KZ,2021-03-28 19:31:53
108,Kedrovyy,56.1667,91.8167,273.15,80,40,1.0,RU,2021-03-28 19:31:54
109,Serebryansk,49.6925,83.2892,276.15,93,90,4.0,KZ,2021-03-28 19:31:54
110,Atasu,48.6814,71.6433,270.88,92,100,3.77,KZ,2021-03-28 19:31:54
111,Tashtagol,52.7657,87.8894,273.84,99,100,0.94,RU,2021-03-28 19:31:54
112,Teguldet,57.3064,88.1667,272.32,98,100,1.88,RU,2021-03-28 19:31:55
113,Novoagansk,61.9449,76.6625,254.73,99,75,2.52,RU,2021-03-28 19:31:55
114,Poltavka,54.3663,71.7632,268.2,94,100,8.53,RU,2021-03-28 19:31:55
115,Kondinskoye,59.6481,67.41,265.49,93,92,4.25,RU,2021-03-28 19:31:55
116,Kosh-Agach,50.0,88.6667,266.32,96,92,1.38,RU,2021-03-28 19:31:56
117,Kargat,55.1956,80.2811,272.03,98,100,2.46,RU,2021-03-28 19:31:56
118,Znamenskoye,57.1281,73.8282,268.89,94,100,5.8,RU,2021-03-28 19:31:56
119,Ayagoz,47.9714,80.4392,273.71,95,99,3.33,KZ,2021-03-28 19:31:57
120,Tarko-Sale,64.9225,77.785,253.4,99,65,4.7,RU,2021-03-28 19:31:57
121,Strezhevoy,60.7333,77.5889,261.15,85,0,3.0,RU,2021-03-28 19:31:57
122,Turukhansk,65.8167,87.9833,253.05,100,100,1.03,RU,2021-03-28 19:31:57
123,Zdvinsk,54.7021,78.661,272.27,98,100,2.76,RU,2021-03-28 19:31:58
124,Talnakh,69.4865,88.3972,248.26,96,60,1.22,RU,2021-03-28 19:31:58
125,Chulym,55.0997,80.9572,272.07,98,100,2.59,RU,2021-03-28 19:31:58
126,Bakchar,57.0186,82.0711,266.87,98,100,0.6,RU,2021-03-28 19:31:58
127,Norilsk,69.3535,88.2027,248.41,99,98,1.57,RU,2021-03-28 19:31:59
128,Yeniseysk,58.4497,92.1703,272.67,98,100,1.1,RU,2021-03-28 19:31:59
129,Teya,60.3778,92.6267,264.04,99,100,0.13,RU,2021-03-28 19:31:59
130,Dudinka,69.4058,86.1778,250.22,99,69,4.27,RU,2021-03-28 19:31:59
131,Aktash,50.3,87.7333,263.94,93,100,1.84,RU,2021-03-28 19:32:00
132,Zyryanskoye,56.8306,86.6258,271.65,96,100,2.33,RU,2021-03-28 19:32:00
133,Dikson,73.5069,80.5464,241.46,100,96,3.1,RU,2021-03-28 19:32:00
134,Mugur-Aksy,50.35,90.5,267.04,92,79,1.51,RU,2021-03-28 19:32:00
135,Hami,42.8,93.45,287.78,25,61,4.33,CN,2021-03-28 19:32:01
136,Khatanga,71.9667,102.5,253.83,98,100,2.99,RU,2021-03-28 19:32:01
137,Motygino,58.1831,94.7592,272.81,98,100,1.96,RU,2021-03-28 19:32:01
138,Orlik,52.5178,99.825,258.83,87,100,0.76,RU,2021-03-28 19:32:02
139,Vanavara,60.34,102.2797,259.93,99,100,0.78,RU,2021-03-28 19:32:02
140,Moron,-34.6534,-58.6198,297.15,57,40,3.09,AR,2021-03-28 19:32:02
141,Erzin,36.9559,36.2,286.48,48,0,0.94,TR,2021-03-28 19:32:02
142,Saskylakh,71.9167,114.0833,253.05,99,98,0.98,RU,2021-03-28 19:32:03
143,Kungurtug,50.5994,97.5228,267.87,84,100,0.59,RU,2021-03-28 19:32:03
144,Severobaykalsk,55.65,109.3167,264.18,91,100,1.63,RU,2021-03-28 19:32:03
145,Zhigansk,66.7697,123.3711,254.4,99,100,1.48,RU,2021-03-28 19:32:03
146,Tiksi,71.6872,128.8694,256.28,99,100,0.77,RU,2021-03-28 19:32:04
147,Ust-Kuyga,70.0167,135.6,255.78,99,100,1.43,RU,2021-03-28 19:32:04
148,Boguchany,58.3814,97.4531,270.03,98,100,1.3,RU,2021-03-28 19:32:04
149,Terney,45.0503,136.6092,275.21,97,100,6.51,RU,2021-03-28 19:32:04
150,Suntar,62.1444,117.6319,256.33,99,87,1.41,RU,2021-03-28 19:32:05
151,Ayan,56.45,138.1667,263.66,89,100,1.73,RU,2021-03-28 19:32:05
152,Esso,55.9333,158.7,256.45,94,89,2.88,RU,2021-03-28 19:32:05
153,Chokurdakh,70.6333,147.9167,246.25,100,98,2.09,RU,2021-03-28 19:32:05
154,Verkhnevilyuysk,63.4453,120.3167,258.87,97,90,1.65,RU,2021-03-28 19:32:06
155,Pevek,69.7008,170.3133,243.6,100,66,0.75,RU,2021-03-28 19:32:06
156,Nikolskoye,59.7035,30.7861,278.15,87,90,1.0,RU,2021-03-28 19:32:06
157,Chara,56.9064,118.2631,260.69,82,100,1.04,RU,2021-03-28 19:32:06
158,Berdigestyakh,62.0989,126.6992,252.54,100,100,1.11,RU,2021-03-28 19:32:07
159,Beringovskiy,63.05,179.3167,261.11,93,100,7.1,RU,2021-03-28 19:32:07
160,Tura,25.5198,90.2201,295.67,21,0,1.84,IN,2021-03-28 19:32:07
161,Leningradskiy,69.3833,178.4167,247.47,95,99,1.3,RU,2021-03-28 19:32:07
162,Shirokiy,49.758,129.523,275.7,97,100,4.98,RU,2021-03-28 19:32:08
163,Almaznyy,48.0448,40.045,278.15,75,0,1.0,RU,2021-03-28 19:32:08
164,Verkhoyansk,67.5447,133.385,250.99,100,100,1.3,RU,2021-03-28 19:32:08
165,Zeya,53.75,127.2667,271.49,92,100,2.76,RU,2021-03-28 19:32:09
166,Skovorodino,53.9833,123.9167,271.42,97,100,1.77,RU,2021-03-28 19:32:09
167,Deputatskiy,69.3,139.9,255.51,96,100,1.69,RU,2021-03-28 19:32:09
168,Cherskiy,68.75,161.3,250.22,93,100,0.33,RU,2021-03-28 19:32:09
169,Srednekolymsk,67.45,153.6833,248.3,99,100,2.13,RU,2021-03-28 19:32:10
170,Anadyr,64.75,177.4833,263.15,79,75,8.0,RU,2021-03-28 19:32:10
171,Kachug,53.9606,105.8817,264.89,96,100,0.51,RU,2021-03-28 19:32:10
172,Longyearbyen,78.2186,15.6401,273.15,74,20,1.03,SJ,2021-03-28 19:32:10
